2025-06-07 16:55:17,543 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:55:17,543 | DEBUG | python_multipart.multipart | Calling on_part_data with data[62320:77773]
2025-06-07 16:55:17,544 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:55:17,544 | DEBUG | python_multipart.multipart | Calling on_end with no data
2025-06-07 16:55:17,545 | INFO | app.face_logic | 📥 Processing 5 file(s)
2025-06-07 16:55:17,545 | INFO | app.face_logic | 🔎 Processing: face1.jpg
2025-06-07 16:55:17,630 | INFO | app.face_logic | ✅ Face found in face1.jpg
2025-06-07 16:55:17,631 | INFO | app.face_logic | 🔎 Processing: face2.jpg
2025-06-07 16:55:17,736 | INFO | app.face_logic | ✅ Face found in face2.jpg
2025-06-07 16:55:17,736 | INFO | app.face_logic | 🔎 Processing: face3.jpg
2025-06-07 16:55:17,863 | INFO | app.face_logic | ✅ Face found in face3.jpg
2025-06-07 16:55:17,864 | INFO | app.face_logic | 🔎 Processing: face4.jpg
2025-06-07 16:55:17,974 | INFO | app.face_logic | ✅ Face found in face4.jpg
2025-06-07 16:55:17,974 | INFO | app.face_logic | 🔎 Processing: face5.jpg
2025-06-07 16:55:18,073 | INFO | app.face_logic | ✅ Face found in face5.jpg
2025-06-07 16:55:18,074 | DEBUG | httpcore.connection | close.started
2025-06-07 16:55:18,075 | DEBUG | httpcore.connection | close.complete
2025-06-07 16:55:18,075 | DEBUG | httpcore.connection | connect_tcp.started host='qdrant' port=6333 local_address=None timeout=5.0 socket_options=None
2025-06-07 16:55:18,083 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f8271cfd2d0>
2025-06-07 16:55:18,084 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-06-07 16:55:18,085 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-06-07 16:55:18,085 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-06-07 16:55:18,086 | DEBUG | httpcore.http11 | send_request_body.complete
2025-06-07 16:55:18,087 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2025-06-07 16:55:18,089 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-type', b'application/json'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'content-encoding', b'gzip'), (b'date', b'Sat, 07 Jun 2025 16:55:17 GMT')])
2025-06-07 16:55:18,091 | INFO | httpx | HTTP Request: GET http://qdrant:6333/collections/faces/exists "HTTP/1.1 200 OK"
2025-06-07 16:55:18,092 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2025-06-07 16:55:18,093 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-06-07 16:55:18,093 | DEBUG | httpcore.http11 | response_closed.started
2025-06-07 16:55:18,094 | DEBUG | httpcore.http11 | response_closed.complete
2025-06-07 16:55:18,096 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-06-07 16:55:18,096 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-06-07 16:55:18,097 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-06-07 16:55:18,098 | DEBUG | httpcore.http11 | send_request_body.complete
2025-06-07 16:55:18,098 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-06-07 16:55:18,112 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-type', b'application/json'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'content-encoding', b'gzip'), (b'date', b'Sat, 07 Jun 2025 16:55:17 GMT')])
2025-06-07 16:55:18,114 | INFO | httpx | HTTP Request: POST http://qdrant:6333/collections/faces/points/search "HTTP/1.1 200 OK"
2025-06-07 16:55:18,115 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-06-07 16:55:18,116 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-06-07 16:55:18,116 | DEBUG | httpcore.http11 | response_closed.started
2025-06-07 16:55:18,117 | DEBUG | httpcore.http11 | response_closed.complete
2025-06-07 16:55:18,118 | INFO | app.face_logic | 🔍 Top score: 0.9122595
2025-06-07 16:55:18,119 | INFO | app.face_logic | ✅ Face recognized as ID 100000001
2025-06-07 16:59:06,298 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:59:06,298 | DEBUG | python_multipart.multipart | Calling on_header_field with data[39:58]
2025-06-07 16:59:06,299 | DEBUG | python_multipart.multipart | Calling on_header_value with data[60:106]
2025-06-07 16:59:06,299 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:59:06,299 | DEBUG | python_multipart.multipart | Calling on_header_field with data[108:120]
2025-06-07 16:59:06,300 | DEBUG | python_multipart.multipart | Calling on_header_value with data[122:132]
2025-06-07 16:59:06,300 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:59:06,301 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:59:06,302 | DEBUG | python_multipart.multipart | Calling on_part_data with data[0:14560]
2025-06-07 16:59:06,302 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:59:06,302 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:59:06,303 | DEBUG | python_multipart.multipart | Calling on_header_field with data[14601:14620]
